Id,judgingRuleId,judgingRuleName,criteriaName,criteriaDescription,subCriteriaName,subCriteriaDescription,subCriteriaValueType,subCriteriaRangeFrom,subCriteriaRangeTo,criteriaUiLayout,subCriteriaUiPosition
11111111-0000-0000-0000-000000000016,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,difficulty,difficulty,level5,level5,integer,0,29,3x3,7
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,setOfCrosses,setOfCrosses,integer,0,6,3x3,1
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,setOfMultiples,setOfMultiples,integer,0,6,3x3,4
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,setOfDirectionChanges,setOfDirectionChanges,integer,0,4,3x3,7
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,gymnastics,gymnastics,integer,0,3,3x3,2
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,powers,powers,integer,0,3,3x3,5
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,releases,releases,integer,0,2,3x3,3
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,wraps,wraps,integer,0,2,3x3,6
11111111-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,variation,variation,pairInteractions,pairInteractions,integer,0,4,3x3,9
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,imRichtigenRhythmus,imRichtigenRhythmus,integer,0,100,3x3,1
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,gebrauchDerMusikakzente,gebrauchDerMusikakzente,integer,0,20,3x3,4
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,ausführungDerSprünge,ausführungDerSprünge,integer,0,20,3x3,7
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,originellesUndSpektakuläres,originellesUndSpektakuläres,integer,0,10,3x3,2
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,bewegung,bewegung,integer,0,100,3x3,5
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,präsentationNachAussen,präsentationNachAussen,integer,0,100,3x3,3
11111111-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,presentation,presentation,gesamteindruck,gesamteindruck,integer,0,100,3x3,6
11111111-0000-0000-0000-000000000019,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,deduction,deduction,kleineFehler,kleineFehler,integer,0,50,3x3,1
11111111-0000-0000-0000-000000000019,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,deduction,deduction,grosseFehler,grosseFehler,integer,0,50,3x3,4
11111111-0000-0000-0000-000000000019,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,deduction,deduction,zeitüberschreitung,zeitüberschreitung,integer,0,1,3x3,3
11111111-0000-0000-0000-000000000019,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,deduction,deduction,überschreitungDerWettkampffläche,überschreitungDerWettkampffläche,integer,0,20,3x3,6
11111111-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,difficulty,difficulty,level2,level2,integer,0,100,3x3,3
11111111-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,difficulty,difficulty,level3,level3,integer,0,63,3x3,4
11111111-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,difficulty,difficulty,level4,level4,integer,0,39,3x3,6
11111111-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,difficulty,difficulty,level5,level5,integer,0,29,3x3,7
11111111-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,difficulty,difficulty,level6,level6,integer,0,21,3x3,9
11111111-0000-0000-0000-000000000021,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,variation,variation,setOfPowers,setOfPowers,integer,0,2,3x2,1
11111111-0000-0000-0000-000000000021,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,variation,variation,gymnastics,gymnastics,integer,0,2,3x2,2
